customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges
0002-ORFBO,Não Cancelou,Female,0,Yes,Yes,9,Yes,No,DSL,No,Yes,No,Com Suporte Técnico,Yes,No,1 Ano,Yes,Mailed check,65.6,593.3
0003-MKNFE,Não Cancelou,Male,0,No,No,9,Yes,Yes,DSL,No,No,No,Sem Suporte Técnico,No,Yes,Mensal,No,Mailed check,59.9,542.4
0004-TLHLJ,Cancelou,Male,0,No,No,4,Yes,No,Fibra Óptica,No,No,Yes,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,73.9,280.85
0011-IGKFF,Cancelou,Male,1,Yes,No,13,Yes,No,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,Yes,Yes,Mensal,Yes,Electronic check,98.0,1237.85
0013-EXCHZ,Cancelou,Female,1,Yes,No,3,Yes,No,Fibra Óptica,No,No,No,Com Suporte Técnico,Yes,No,Mensal,Yes,Mailed check,83.9,267.4
0013-MHZWF,Não Cancelou,Female,0,No,Yes,9,Yes,No,DSL,No,No,No,Com Suporte Técnico,Yes,Yes,Mensal,Yes,Credit card (automatic),69.4,571.45
0013-SMEOE,Não Cancelou,Female,1,Yes,No,71,Yes,No,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Bank transfer (automatic),109.7,7904.25
0014-BMAQU,Não Cancelou,Male,0,Yes,No,63,Yes,Yes,Fibra Óptica,Yes,No,No,Com Suporte Técnico,No,No,2 Anos,Yes,Credit card (automatic),84.65,5377.8
0015-UOCOJ,Não Cancelou,Female,1,No,No,7,Yes,No,DSL,Yes,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,48.2,340.35
0016-QLJIS,Não Cancelou,Female,0,Yes,Yes,65,Yes,Yes,DSL,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Mailed check,90.45,5957.9
0017-DINOC,Não Cancelou,Male,0,No,No,54,No,No phone service,DSL,Yes,No,No,Com Suporte Técnico,Yes,No,2 Anos,No,Credit card (automatic),45.2,2460.55
0017-IUDMW,Não Cancelou,Female,0,Yes,Yes,72,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Credit card (automatic),116.8,8456.75
0018-NYROU,Não Cancelou,Female,0,Yes,No,5,Yes,No,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,68.95,351.5
0019-EFAEP,Não Cancelou,Female,0,No,No,72,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Sem Suporte Técnico,Yes,No,2 Anos,Yes,Bank transfer (automatic),101.3,7261.25
0019-GFNTW,Não Cancelou,Female,0,No,No,56,No,No phone service,DSL,Yes,Yes,Yes,Com Suporte Técnico,No,No,2 Anos,No,Bank transfer (automatic),45.05,2560.1
0020-INWCK,Não Cancelou,Female,0,Yes,Yes,71,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,No,Yes,2 Anos,Yes,Credit card (automatic),95.75,6849.4
0020-JDNXP,Não Cancelou,Female,0,Yes,Yes,34,No,No phone service,DSL,Yes,No,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,No,Mailed check,61.25,1993.2
0021-IKXGC,Não Cancelou,Female,1,No,No,1,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,72.1,72.1
0022-TCJCI,Cancelou,Male,1,No,No,45,Yes,No,DSL,Yes,No,Yes,Sem Suporte Técnico,No,Yes,1 Ano,No,Credit card (automatic),62.7,2791.5
0023-HGHWL,Cancelou,Male,1,No,No,1,No,No phone service,DSL,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,25.1,25.1
0023-UYUPN,Não Cancelou,Female,1,Yes,No,50,Yes,Yes,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,No,Electronic check,25.2,1306.3
0023-XUOPT,Cancelou,Female,0,Yes,No,13,Yes,Yes,Fibra Óptica,No,Yes,Yes,Sem Suporte Técnico,Yes,No,Mensal,No,Electronic check,94.1,1215.6
0027-KWYKW,Não Cancelou,Female,0,Yes,Yes,23,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,Yes,No,Mensal,Yes,Electronic check,83.75,1849.95
0030-FNXPP,Não Cancelou,Female,0,No,No,3,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,No,Mailed check,19.85,57.2
0031-PVLZI,Cancelou,Female,0,Yes,Yes,4,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,Mensal,No,Mailed check,20.35,76.35
0032-PGELS,Cancelou,Female,0,Yes,Yes,1,No,No phone service,DSL,Yes,No,No,Sem Suporte Técnico,No,No,Mensal,No,Bank transfer (automatic),30.5,30.5
0036-IHMOT,Não Cancelou,Female,0,Yes,Yes,55,Yes,No,Fibra Óptica,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,Yes,Bank transfer (automatic),103.7,5656.75
0040-HALCW,Não Cancelou,Male,0,Yes,Yes,54,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,No,Credit card (automatic),20.4,1090.6
0042-JVWOJ,Não Cancelou,Male,0,No,No,26,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,Yes,Bank transfer (automatic),19.6,471.85
0042-RLHYP,Não Cancelou,Female,0,Yes,Yes,69,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,No,Bank transfer (automatic),19.7,1396.9
0048-LUMLS,Não Cancelou,Male,0,Yes,Yes,37,Yes,No,Fibra Óptica,No,No,No,Sem Suporte Técnico,Yes,Yes,1 Ano,No,Credit card (automatic),91.2,3247.55
0048-PIHNL,Não Cancelou,Female,0,Yes,No,49,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,No,Bank transfer (automatic),20.45,900.9
0052-DCKON,Não Cancelou,Male,0,Yes,No,66,Yes,Yes,Fibra Óptica,Yes,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,No,Bank transfer (automatic),115.8,7942.15
0052-YNYOT,Não Cancelou,Female,0,No,No,67,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,1 Ano,No,Electronic check,20.55,1343.4
0056-EPFBG,Não Cancelou,Male,0,Yes,Yes,20,No,No phone service,DSL,Yes,No,Yes,Com Suporte Técnico,No,No,2 Anos,Yes,Credit card (automatic),39.4,825.4
0057-QBUQH,Não Cancelou,Female,0,No,Yes,43,Yes,Yes,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,Yes,Electronic check,25.1,1070.15
0058-EVZWM,Não Cancelou,Female,0,Yes,No,55,Yes,Yes,Fibra Óptica,Yes,No,No,Sem Suporte Técnico,Yes,No,Mensal,Yes,Bank transfer (automatic),89.8,4959.6
0060-FUALY,Não Cancelou,Female,0,Yes,No,59,Yes,Yes,Fibra Óptica,Yes,Yes,No,Sem Suporte Técnico,Yes,No,Mensal,Yes,Electronic check,94.75,5597.65
0064-SUDOG,Não Cancelou,Female,0,Yes,Yes,12,Yes,No,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,No,Bank transfer (automatic),20.3,224.5
0064-YIJGF,Não Cancelou,Male,0,Yes,Yes,27,Yes,Yes,Fibra Óptica,No,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Bank transfer (automatic),75.75,1929.0
0067-DKWBL,Cancelou,Male,1,No,No,2,Yes,No,DSL,Yes,No,No,Sem Suporte Técnico,No,No,Mensal,Yes,Electronic check,49.25,91.1
0068-FIGTF,Não Cancelou,Female,0,No,No,27,Yes,No,DSL,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,No,Mailed check,78.2,2078.95
0071-NDAFP,Não Cancelou,Male,0,Yes,Yes,25,Yes,Yes,Não Possui,No internet service,No internet service,No internet service,Sem Internet,No internet service,No internet service,2 Anos,No,Credit card (automatic),25.5,630.6
0074-HDKDG,Não Cancelou,Male,0,Yes,Yes,25,Yes,No,DSL,Yes,Yes,Yes,Sem Suporte Técnico,No,No,1 Ano,Yes,Bank transfer (automatic),61.6,1611.0
0076-LVEPS,Não Cancelou,Male,0,No,Yes,29,No,No phone service,DSL,Yes,Yes,Yes,Com Suporte Técnico,No,No,Mensal,Yes,Mailed check,45.0,1242.45
0078-XZMHT,Não Cancelou,Male,0,Yes,No,72,Yes,Yes,DSL,No,Yes,Yes,Com Suporte Técnico,Yes,Yes,2 Anos,Yes,Bank transfer (automatic),85.15,6316.2
0080-EMYVY,Não Cancelou,Female,0,No,No,14,Yes,No,DSL,No,Yes,No,Sem Suporte Técnico,No,No,1 Ano,No,Credit card (automatic),51.45,727.85
0080-OROZO,Não Cancelou,Female,0,No,No,35,Yes,No,Fibra Óptica,No,No,Yes,Com Suporte Técnico,Yes,Yes,1 Ano,Yes,Electronic check,99.25,3532.0
